id	isolate	aliases	country	year	disease	source	epidemiology	species	serogroup	genogroup	genogroup_notes	capsule_group	serotype	bioproject_accession	biosample_accession	ENA_run_accession	sender	strain_designation	Bact_rmlstc_20	Bact_rmlstc_10	Bact_rmlstc_5
19940	CCUG 808	Berger NA10; CIP 72.15; NA10; NCTC 10212	Germany	1960		other		Neisseria animalis								ERR033100	8	ND: P1.ND,ND: F-ND: ST-ND (-)	5974	9789	14102
30325	DSM 21642		USA	NA				Neisseria animaloris									342	ND: P1.ND,ND: F-ND: ST-ND (-)	7313	11493	16147
21040	CCUG 50611	911*084/05; 956*007; 961*017/05; 962*037/05; Vax B-7128I/05	Sweden	2005	invasive (unspecified/other)	blood		Neisseria bacilliformis								ERR160786	8	ND: P1.ND,ND: F-ND: ST-10251 ()	222	589	886
19077	CCUG 50858 T	ATCC BAA-1200; BennettTree51; MDA 2833	USA	2003	other	other		Neisseria bacilliformis								ERR033097	8	ND: P1.ND,ND: F-ND: ST-9330 ()	222	589	883
21039	CCUG 38158	RSO 9705-02754	Sweden	1997	invasive (unspecified/other)	blood		Neisseria bacilliformis								ERR160727	8	ND: P1.ND,ND: F-ND: ST-ND (-)	244	649	1003
21038	CCUG 30380		Sweden	1992		other		Neisseria bacilliformis								ERR160773	8	ND: P1.ND,ND: F-ND: ST-10250 ()	222	589	885
46192	G97_1403		The Gambia	1997	carrier	throat swab	carrier	Neisseria basseii								ERR1674728	36	ND: P1.ND,ND: F5-4: ST-12608 ()	5893	9643	13855
46193	G97_1402		The Gambia	1997	carrier	throat swab	carrier	Neisseria basseii								ERR1674729	36	ND: P1.ND,ND: F5-4: ST-12608 ()	5893	9643	13855
44518	OX40911		UK [England]	2015	carrier	throat swab	carrier	Neisseria benedictiae	NG	cnl		cnl	NT			ERR1600478	161	cnl: P1.ND,ND: F4-5: ST-12152 ()	358	949	11382
46411	M-091		Malawi	NA				Neisseria benedictiae								ERR107383	2	ND: P1.ND,ND: F1-109: ST-6215 ()	358	949	1534
46412	M-092		Malawi	NA				Neisseria benedictiae								ERR107384	2	ND: P1.ND,ND: F1-109: ST-6215 ()	358	949	1534
