Core genome analysis
--------------------

Parameters:
Min % identity: 70
Min % alignment: 50
BLASTN word size: 20
Core threshold (percentage of isolates that contain locus): 90%

Locus	Sequence length	Genome position	Isolate frequency	Isolate percentage	Core
NMC0001	924	1261	32	97.0	Y
NMC0002	291	3341	2	6.1	-
NMC0003	366	3675	2	6.1	-
NMC0004	330	4069	24	72.7	-
NMC0005	219	4476	14	42.4	-
NMC0006	954	4816	26	78.8	-
NMC0007	2058	5843	32	97.0	Y
NMC0008	1839	8016	32	97.0	Y
NMC0009	519	10290	11	33.3	-
NMC0010	1326	11226	30	90.9	Y
NMC0011	840	12763	29	87.9	-
NMC0012	1167	13599	30	90.9	Y
NMC0013	1266	15029	29	87.9	-
NMC0014	330	16366	23	69.7	-
NMC0015	1371	16772	32	97.0	Y
NMC0016	978	18197	21	63.6	-
NMC0017	1002	19233	25	75.8	-
NMC0018	849	20328	15	45.5	-
NMC0019	486	21203	15	45.5	-
NMC0020	1569	21790	30	90.9	Y
NMC0021	1266	23503	32	97.0	Y
NMC0022	957	25628	3	9.1	-
NMC0023	1188	26799	2	6.1	-
NMC0024	285	27987	2	6.1	-
NMC0025	1560	28574	1	3.0	-
NMC0027	303	30552	1	3.0	-
NMC0028	231	30882	1	3.0	-
NMC0029	201	31339	1	3.0	-
NMC0030	312	31543	1	3.0	-
NMC0031	1209	31875	2	6.1	-
NMC0033	3147	34401	10	30.3	-
NMC0034	2151	38697	17	51.5	-
NMC0035	1227	41133	19	57.6	-
NMC0036	1044	42522	32	97.0	Y
NMC0037	687	43685	22	66.7	-
NMC0038	408	44371	12	36.4	-
NMC0039	792	44827	21	63.6	-
NMC0040	417	45765	28	84.8	-
NMC0041	465	51981	12	36.4	-
NMC0042	162	52506	9	27.3	-
NMC0043	1122	52714	29	87.9	-
NMC0044	2019	54031	21	63.6	-
NMC0045	573	56093	29	87.9	-
NMC0046	867	56704	33	100.0	Y
NMC0047	1068	57633	31	93.9	Y
NMC0048	1020	58816	24	72.7	-
NMC0049	1163	60012	1	3.0	-
NMC0050	1383	61225	0	0.0	-
NMC0051	1479	62636	0	0.0	-
NMC0052	1050	64194	2	6.1	-
NMC0053	687	65244	1	3.0	-
NMC0054	1134	65934	1	3.0	-
NMC0055	1176	67202	7	21.2	-
NMC0056	1164	68392	10	30.3	-
NMC0057	798	69555	10	30.3	-
NMC0058	651	70349	11	33.3	-
NMC0059	2277	71060	33	100.0	Y
NMC0060	1003	73367	3	9.1	-
NMC0061	345	74362	3	9.1	-
NMC0062	657	74749	20	60.6	-
NMC0063	1068	75521	31	93.9	Y
NMC0064	867	76651	33	100.0	Y
NMC0065	555	77556	29	87.9	-
NMC0066	2115	78134	14	42.4	-
NMC0067	1260	80385	7	21.2	-
NMC0068	1407	82013	3	9.1	-
NMC0069	1215	83637	21	63.6	-
NMC0071	1017	84950	13	39.4	-
NMC0072	198	85977	12	36.4	-
NMC0073	1401	86600	15	45.5	-
NMC0074	1473	88308	28	84.8	-
NMC0075	330	90041	16	48.5	-
NMC0080	237	91332	2	6.1	-
NMC0081	228	91562	2	6.1	-
NMC0082	282	91789	2	6.1	-
NMC0083	189	92161	2	6.1	-
NMC0083A	153	92356	2	6.1	-
NMC0084	138	92609	2	6.1	-
NMC0085	1266	92791	2	6.1	-
NMC0086	2088	94059	2	6.1	-
NMC0087	1378	96228	22	66.7	-
NMC0088	1008	96416	23	69.7	-
NMC0089	147	97605	2	6.1	-
NMC0090	643	97831	20	60.6	-
NMC0092	552	98556	13	39.4	-
NMC0093	660	99384	2	6.1	-
NMC0094	237	100024	2	6.1	-
NMC0095	676	100382	1	3.0	-
NMC0096	159	101184	11	33.3	-
NMC0097	843	101339	21	63.6	-
NMC0098	921	102420	32	97.0	Y
NMC0099	459	103350	25	75.8	-
NMC0100	666	103873	12	36.4	-
NMC0101	1218	104601	16	48.5	-
NMC0102	504	106002	30	90.9	Y
NMC0103	927	106592	31	93.9	Y
NMC0104	1260	107597	33	100.0	Y
NMC0105	600	108822	26	78.8	-
NMC0106	2118	109421	23	69.7	-
NMC0107	1278	111531	24	72.7	-
NMC0108	1194	112899	26	78.8	-
NMC0109	462	114118	18	54.5	-
NMC0110	2307	114651	33	100.0	Y
NMC0111	696	117030	2	6.1	-
NMC0112	553	117745	2	6.1	-
NMC0113	378	118416	14	42.4	-
NMC0114	570	118882	13	39.4	-
NMC0115	252	119574	20	60.6	-
NMC0116	1185	120242	32	97.0	Y
NMC0117	279	121623	12	36.4	-
NMC0118	537	121903	19	57.6	-
NMC0119	435	122540	33	100.0	Y
NMC0120	696	122974	30	90.9	Y
NMC0121	501	123899	33	100.0	Y
NMC0122	372	124457	33	100.0	Y
NMC0123	4185	125013	33	100.0	Y
NMC0124	4176	129354	33	100.0	Y
NMC0125	372	133787	33	100.0	Y
NMC0126	471	134276	33	100.0	Y
NMC0127	2106	134765	33	100.0	Y
NMC0128	1185	136958	32	97.0	Y
NMC0129	312	138160	31	93.9	Y
NMC0130	324	138698	28	84.8	-
NMC0131	87	139171	11	33.3	-
NMC0132	645	139475	32	97.0	Y
NMC0133	621	140119	32	97.0	Y
NMC0134	321	140730	25	75.8	-
NMC0135	834	141056	29	87.9	-
NMC0136	279	141896	32	97.0	Y
NMC0137	330	142183	28	84.8	-
NMC0138	693	142522	27	81.8	-
NMC0139	417	143198	26	78.8	-
NMC0140	192	143614	25	75.8	-
NMC0141	264	143805	27	81.8	-
NMC0142	369	144290	33	100.0	Y
NMC0143	324	144670	27	81.8	-
NMC0144	540	145003	29	87.9	-
NMC0145	306	145545	32	97.0	Y
NMC0146	393	145866	33	100.0	Y
NMC0147	534	146272	30	90.9	Y
NMC0148	354	146819	30	90.9	Y
NMC0149	519	147191	32	97.0	Y
NMC0150	186	147702	22	66.7	-
NMC0151	435	147889	20	60.6	-
NMC0152	1311	148335	29	87.9	-
NMC0153	219	149650	15	45.5	-
NMC0154	114	149889	20	60.6	-
NMC0155	363	150068	33	100.0	Y
NMC0156	396	150450	33	100.0	Y
NMC0157	621	150865	33	100.0	Y
NMC0158	987	151511	29	87.9	-
NMC0159	369	152521	28	84.8	-
NMC0160	714	153036	12	36.4	-
NMC0161	816	153777	21	63.6	-
NMC0162	264	154596	13	39.4	-
NMC0163	921	154863	25	75.8	-
NMC0164	2838	156113	33	100.0	Y
NMC0165	810	159047	11	33.3	-
NMC0166	1257	160037	10	30.3	-
NMC0167	1392	161372	20	60.6	-
NMC0168	777	163121	31	93.9	Y
NMC0169	723	163940	6	18.2	-
NMC0170	450	164827	26	78.8	-
NMC0171	1047	165310	31	93.9	Y
NMC0172	501	166389	14	42.4	-
NMC0173	2394	166955	27	81.8	-
NMC0174	1341	169405	17	51.5	-
NMC0175	1236	170780	31	93.9	Y
NMC0176	798	172020	22	66.7	-
NMC0177	774	172821	32	97.0	Y
NMC0178	558	173623	31	93.9	Y
NMC0179	1128	174361	18	54.5	-
NMC0180	489	175739	12	36.4	-
NMC0181	624	176323	20	60.6	-
NMC0182	774	177045	23	69.7	-
NMC0183	585	178616	29	87.9	-
NMC0184	1896	179268	33	100.0	Y
NMC0185	1428	181438	30	90.9	Y
NMC0186	990	183025	29	87.9	-
NMC0187	2760	185095	33	100.0	Y
NMC0190	993	188347	33	100.0	Y
NMC0191	1155	189405	27	81.8	-
NMC0193	390	190769	8	24.2	-
NMC0194	300	191492	16	48.5	-
NMC0195	810	192055	32	97.0	Y
NMC0196	378	192874	16	48.5	-
NMC0197	504	193409	30	90.9	Y
NMC0198	726	193982	17	51.5	-
NMC0199	1032	194955	33	100.0	Y
NMC0200	840	196185	19	57.6	-
NMC0201	1977	197173	22	66.7	-
NMC0202	315	199751	3	9.1	-
NMC0203	1320	200369	14	42.4	-
NMC0204	2391	202007	33	100.0	Y
NMC0205	987	204553	24	72.7	-
NMC0206	2037	205627	33	100.0	Y
NMC0207	567	207939	12	36.4	-
NMC0209	501	208969	1	3.0	-
NMC0210	447	209923	8	24.2	-
NMC0211	1515	211530	29	87.9	-
NMC0212	852	213393	18	54.5	-
NMC0213	1133	215183	11	33.3	-
NMC0214	1218	216671	15	45.5	-
NMC0215	957	218313	10	30.3	-
NMC0216	1248	219511	33	100.0	Y
NMC0217	237	220914	33	100.0	Y
NMC0218	1008	221382	31	93.9	Y
NMC0220	324	222723	8	24.2	-
NMC0221	282	223133	13	39.4	-
NMC0222	474	223467	12	36.4	-
NMC0223	336	224194	10	30.3	-
NMC0224	2691	224709	25	75.8	-
NMC0225	693	227699	6	18.2	-
NMC0226	1194	228499	6	18.2	-
NMC0227	738	229821	5	15.2	-
NMC0228	930	230545	1	3.0	-
NMC0229	648	231471	3	9.1	-
NMC0230	2208	232302	31	93.9	Y
NMC0231	540	234744	13	39.4	-
NMC0232	216	235473	7	21.2	-
NMC0233	360	235812	6	18.2	-
NMC0234	378	236224	20	60.6	-
NMC0235	666	236755	2	6.1	-
NMC0236	1494	237401	2	6.1	-
NMC0237	357	239356	27	81.8	-
NMC0238	483	239703	31	93.9	Y
NMC0239	594	240198	31	93.9	Y
NMC0240	1257	240781	31	93.9	Y
NMC0241	474	242037	31	93.9	Y
NMC0242	1302	242900	30	90.9	Y
NMC0243	438	244201	4	12.1	-
NMC0244	2262	244928	31	93.9	Y
NMC0245	1083	247186	31	93.9	Y
NMC0246	480	248349	30	90.9	Y
NMC0247	672	248840	26	78.8	-
NMC0248	306	249508	27	81.8	-
NMC0249	576	249847	12	36.4	-
NMC0250	342	250546	7	21.2	-
NMC0251	2025	250936	31	93.9	Y
NMC0252	1497	253049	31	93.9	Y
NMC0253	1446	254555	30	90.9	Y
NMC0254	351	256061	16	48.5	-
NMC0255	897	256520	28	84.8	-
NMC0256	225	257400	25	75.8	-
NMC0257	924	257735	32	97.0	Y
NMC0258	1854	258663	32	97.0	Y
NMC0259	585	260682	26	78.8	-
NMC0260	381	261348	12	36.4	-
NMC0261	720	261728	19	57.6	-
NMC0262	465	262577	26	78.8	-
NMC0263	726	263106	16	48.5	-
NMC0264	771	263803	20	60.6	-
NMC0265	789	264575	17	51.5	-
NMC0266	1138	265439	1	3.0	-
NMC0267	297	265817	3	9.1	-
NMC0269	2301	266719	32	97.0	Y
NMC0270	783	269085	25	75.8	-
NMC0271	957	269918	18	54.5	-
NMC0272	1539	271007	32	97.0	Y
NMC0273	699	273004	19	57.6	-
NMC0274	1005	273759	31	93.9	Y
NMC0275	2409	274833	19	57.6	-
NMC0276	1218	277343	18	54.5	-
NMC0277	1209	280407	2	6.1	-
NMC0278	312	281636	1	3.0	-
NMC0279	201	281951	1	3.0	-
NMC0280	231	282378	1	3.0	-
NMC0281	303	282636	1	3.0	-
NMC0282	282	283053	2	6.1	-
NMC0283	1632	283285	1	3.0	-
NMC0284	285	285219	2	6.1	-
NMC0285	1188	285504	2	6.1	-
NMC0286	957	286906	3	9.1	-
NMC0288	1881	288298	31	93.9	Y
NMC0289	633	290487	20	60.6	-
NMC0290	1371	291191	32	97.0	Y
NMC0291	1869	292641	11	33.3	-
NMC0292	614	294604	13	39.4	-
NMC0293	2151	295254	31	93.9	Y
NMC0294	231	297476	11	33.3	-
NMC0295	2589	298148	1	3.0	-
NMC0296	2244	300748	0	0.0	-
NMC0297	966	301098	8	24.2	-
NMC0298	372	303055	1	3.0	-
NMC0299	1005	303741	24	72.7	-
NMC0300	855	305394	9	27.3	-
NMC0302	747	306449	33	100.0	Y
NMC0303	1566	307257	33	100.0	Y
NMC0304	2058	308922	20	60.6	-
NMC0305	927	310925	29	87.9	-
NMC0306	408	311945	11	33.3	-
NMC0307	963	312399	26	78.8	-
NMC0308	426	313611	11	33.3	-
NMC0309	252	314054	11	33.3	-
NMC0310	1056	314441	29	87.9	-
NMC0311	528	315584	27	81.8	-
NMC0312	180	316286	33	100.0	Y
NMC0313	504	316499	18	54.5	-
NMC0314	591	317150	14	42.4	-
NMC0315	726	317787	24	72.7	-
NMC0316	1638	318593	30	90.9	Y
NMC0317	222	320402	18	54.5	-
NMC0318	366	320688	22	66.7	-
NMC0319	135	321056	32	97.0	Y
NMC0320	1557	321483	33	100.0	Y
NMC0321	1104	323119	33	100.0	Y
NMC0323	2151	324485	33	100.0	Y
NMC0324	444	326711	17	51.5	-
NMC0325	516	327161	22	66.7	-
NMC0326	2631	327943	33	100.0	Y
NMC0327	813	330811	3	9.1	-
NMC0328	810	331616	3	9.1	-
NMC0329	555	332422	2	6.1	-
NMC0330	120	333108	10	30.3	-
NMC0331	312	333746	11	33.3	-
NMC0332	342	334054	10	30.3	-
NMC0333	351	335322	21	63.6	-
NMC0334	774	335679	29	87.9	-
NMC0335	528	336612	15	45.5	-
NMC0336	657	337241	18	54.5	-
NMC0337	324	337977	17	51.5	-
NMC0338	2178	338717	2	6.1	-
NMC0339	324	341008	2	6.1	-
NMC0340	966	342383	2	6.1	-
NMC0341	957	343584	3	9.1	-
NMC0342	2016	344654	32	97.0	Y
NMC0343	1311	346765	13	39.4	-
NMC0344	435	348072	12	36.4	-
NMC0345	642	348580	32	97.0	Y
NMC0346	735	349283	12	36.4	-
NMC0347	441	350011	13	39.4	-
NMC0348	678	350448	22	66.7	-
NMC0349	840	351263	8	24.2	-
NMC0350	1065	352242	33	100.0	Y
NMC0351	918	353500	17	51.5	-
NMC0352	1914	354502	33	100.0	Y
NMC0353	1329	356500	28	84.8	-
NMC0354	1284	358611	33	100.0	Y
NMC0355	564	360300	28	84.8	-
NMC0356	888	360881	28	84.8	-
NMC0357	1362	362029	33	100.0	Y
NMC0358	456	363502	33	100.0	Y
NMC0360	1080	364274	30	90.9	Y
NMC0361	579	365724	12	36.4	-
NMC0362	900	366541	8	24.2	-
NMC0363	3216	367667	33	100.0	Y
NMC0364	549	370889	2	6.1	-
NMC0365	564	371440	3	9.1	-
NMC0366	390	372581	10	30.3	-
NMC0367	261	372967	7	21.2	-
NMC0368	147	373301	2	6.1	-
NMC0369	138	373550	2	6.1	-
NMC0370	1134	373733	28	84.8	-
NMC0371	3117	376847	3	9.1	-
NMC0372	1080	380917	30	90.9	Y
NMC0373	522	382354	13	39.4	-
NMC0374	441	383218	17	51.5	-
NMC0375	501	383773	14	42.4	-
NMC0376	696	384289	17	51.5	-
NMC0377	432	385215	26	78.8	-
NMC0378	1677	385821	32	97.0	Y
NMC0379	1092	387611	33	100.0	Y
NMC0380	1883	389077	12	36.4	-
NMC0381	1296	391022	33	100.0	Y
NMC0382	957	392808	21	63.6	-
NMC0383	2790	393905	33	100.0	Y
NMC0384	498	397998	21	63.6	-
NMC0385	969	398524	29	87.9	-
NMC0386	660	399579	20	60.6	-
NMC0387	2169	400386	9	27.3	-
NMC0388	933	402624	12	36.4	-
NMC0389	3435	403990	33	100.0	Y
NMC0390	237	407587	30	90.9	Y
